Customer ID,Last_Purchase,Frequency,Monetary,Recency,Avg_Order_Value,Purchase_Regularity_Std,Return_Rate,Product_Diversity,Best_Quarter,Weekend_Purchase_Ratio,Peak_Hour_Segment,Segment,Weighted_RFM
12346,2011-01-18 10:01:00,12,77556.46,325,6463.038333333334,76.0184814621387,0.2941,27,1,0.0,Afternoon,At_Risk,4.1
12347,2011-12-07 15:52:00,8,5633.32,2,704.165,19.051309166363893,0.0,126,4,0.15810276679841898,Afternoon,Champions,4.7
12348,2011-09-25 13:13:00,5,2019.4,75,403.88,57.40717144515425,0.0,25,4,0.058823529411764705,Afternoon,Loyal_Customers,3.6999999999999997
12349,2011-11-21 09:51:00,4,4428.69,18,1107.1725,186.5082661260174,0.2,138,4,0.0,Morning,Loyal_Customers,4.4
12350,2011-02-02 16:01:00,1,334.4,310,334.4,0.0,0.0,17,1,0.0,Afternoon,Lost,1.7
12351,2010-11-29 15:23:00,1,300.93,375,300.93,0.0,0.0,21,4,0.0,Afternoon,Lost,1.7
12352,2011-11-03 14:37:00,10,2849.84,36,284.98400000000004,60.50029515866608,0.2308,70,1,0.0,Afternoon,Champions,4.300000000000001
12353,2011-05-19 17:47:00,2,406.76,204,203.38,0.0,0.0,23,4,0.0,Afternoon,Lost,2.0
12354,2011-04-21 13:11:00,1,1079.4,232,1079.4,0.0,0.0,58,2,0.0,Afternoon,Cannot_Lose_Them,2.1
12355,2011-05-09 13:49:00,2,947.61,214,473.805,0.0,0.0,35,2,0.0,Morning,Cannot_Lose_Them,2.4000000000000004
12356,2011-11-17 08:40:00,6,6373.68,22,1062.28,83.61100406047042,0.0,104,4,0.0,Morning,Champions,4.4
12357,2011-11-06 16:07:00,3,18287.66,33,6095.886666666666,0.0,0.0,261,4,0.44256756756756754,Morning,Loyal_Customers,4.1
12358,2011-12-08 10:26:00,5,3887.07,1,777.414,31.55418619877031,0.0,56,4,0.0,Morning,Champions,4.7
12359,2011-10-13 12:47:00,10,8935.94,57,893.594,45.98580698916182,0.2857,305,4,0.1726027397260274,Afternoon,Champions,4.7
12360,2011-10-18 15:22:00,8,4252.89,52,531.6112499999999,65.31316501142418,0.1111,160,4,0.0,Morning,Champions,4.4
12361,2011-02-25 13:51:00,4,511.25,287,127.8125,38.17503547258775,0.0,18,1,0.20689655172413793,Afternoon,At_Risk,2.3
12362,2011-12-06 15:40:00,11,5356.23,3,486.92999999999995,132.08856456517685,0.2143,201,4,0.0,Afternoon,Champions,5.0
12363,2011-08-22 10:18:00,2,552.0,109,276.0,0.0,0.0,23,2,0.0,Afternoon,Hibernating,2.3
12364,2011-12-02 10:22:00,4,1313.1,7,328.275,2.6457513110645907,0.0,70,3,0.25882352941176473,Afternoon,Loyal_Customers,4.0
12365,2011-02-21 14:04:00,2,641.38,291,320.69,0.0,0.3333,22,1,0.0,Afternoon,Cannot_Lose_Them,2.4000000000000004
12366,2010-03-16 10:28:00,1,500.24,633,500.24,0.0,0.0,3,1,0.0,Morning,Lost,1.4
12367,2011-12-05 16:48:00,1,168.9,4,168.9,0.0,0.0,11,4,0.0,Afternoon,Recent_Customers,2.2
12368,2010-03-21 15:56:00,1,917.6999999999999,628,917.6999999999999,0.0,0.0,18,1,1.0,Afternoon,Cannot_Lose_Them,1.8000000000000003
12369,2010-10-22 13:13:00,3,1791.15,413,597.05,110.30865786510141,0.0,90,3,0.0,Afternoon,At_Risk,2.8
12370,2011-10-19 14:51:00,7,4320.31,51,617.1871428571428,114.15033946511066,0.0,168,4,0.0,Afternoon,Champions,4.4
12371,2011-10-26 10:16:00,5,4067.38,44,813.476,170.32420066841158,0.0,134,4,0.0,Afternoon,Champions,4.4
12372,2011-09-29 12:12:00,3,1298.04,71,432.68,40.30508652763321,0.0,34,2,0.0,Afternoon,Loyal_Customers,3.4
12373,2011-02-01 13:10:00,3,1127.65,311,375.8833333333334,186.67619023324855,0.0,36,1,0.0,Afternoon,At_Risk,2.7
12374,2011-11-14 15:37:00,4,2989.2200000000003,25,747.3050000000001,161.92745289171938,0.0,79,4,0.0,Afternoon,Loyal_Customers,4.1
12375,2011-11-29 10:36:00,2,457.5,10,228.75,0.0,0.3333,14,3,0.0,Afternoon,Recent_Customers,2.9000000000000004
12376,2010-11-15 12:15:00,2,503.15,389,251.575,0.0,0.0,11,4,0.0,Morning,Lost,2.0
12377,2011-01-28 15:45:00,4,3426.32,315,856.58,101.21429411566992,0.0,129,4,0.0,Afternoon,At_Risk,3.5
12378,2011-08-02 10:34:00,2,5416.32,129,2708.16,0.0,0.0,281,3,0.0,Morning,Potential_Loyalists,3.5
12379,2011-09-19 10:09:00,4,1620.22,81,405.055,88.22131261775694,0.2,58,2,0.0,Afternoon,Loyal_Customers,3.4
12380,2011-11-18 11:27:00,11,9676.300000000001,21,879.6636363636363,92.20422467337951,0.2667,156,1,0.0,Afternoon,Champions,4.7
12381,2011-12-05 12:44:00,5,1845.31,4,369.062,24.226363050748386,0.1667,70,3,0.1839080459770115,Morning,Champions,4.300000000000001
12383,2011-06-08 08:02:00,5,1850.56,184,370.112,18.672618098881223,0.1667,84,1,0.0,Afternoon,Loyal_Customers,3.6999999999999997
12384,2011-11-11 08:39:00,2,585.27,28,292.635,0.0,0.3333,26,3,0.0,Morning,Recent_Customers,2.5999999999999996
12385,2010-11-25 15:14:00,1,1938.4,379,1938.4,0.0,0.5,65,4,0.0,Afternoon,Cannot_Lose_Them,2.5
12386,2011-01-06 12:37:00,2,660.8,337,330.4,0.0,0.0,10,4,0.0,Morning,Cannot_Lose_Them,2.4000000000000004
12387,2010-10-20 16:27:00,1,143.94,415,143.94,0.0,0.0,9,4,0.0,Afternoon,Lost,1.0
12388,2011-11-24 12:30:00,8,3901.11,15,487.6387500000001,47.261682859020866,0.0,83,3,0.1506849315068493,Afternoon,Champions,4.7
12389,2010-11-02 11:52:00,3,1433.33,402,477.77666666666664,54.44722215136416,0.0,41,4,0.0,Morning,At_Risk,3.1
12390,2011-09-21 09:33:00,1,549.84,79,549.84,0.0,0.0,32,3,0.0,Morning,Hibernating,2.0
12391,2011-11-18 12:07:00,6,2773.42,21,462.2366666666667,195.47442287931176,0.1429,241,2,0.0,Afternoon,Champions,4.0
12392,2010-04-27 14:04:00,1,234.75000000000003,591,234.75000000000003,0.0,0.0,7,2,0.0,Afternoon,Lost,1.0
12393,2011-09-28 15:41:00,6,2399.4500000000003,72,399.9083333333333,63.762841843819984,0.1429,63,4,0.0,Afternoon,Loyal_Customers,3.6999999999999997
12394,2011-10-07 08:08:00,2,1272.48,63,636.24,0.0,0.0,26,4,0.0,Afternoon,Potential_Loyalists,3.1
12395,2011-11-20 15:21:00,15,5067.27,19,337.81800000000004,28.436614173298228,0.1667,145,4,0.05905511811023622,Afternoon,Champions,5.0
12396,2010-02-03 13:22:00,1,931.43,674,931.43,0.0,0.0,65,1,0.0,Afternoon,Cannot_Lose_Them,1.8000000000000003
12397,2011-11-04 09:52:00,2,2409.9,35,1204.9499999999998,0.0,0.0,110,3,0.0,Afternoon,Recent_Customers,3.4
12398,2011-10-25 10:27:00,1,1635.6599999999999,45,1635.6599999999999,0.0,0.0,85,4,0.0,Morning,Recent_Customers,3.1
12399,2011-08-12 13:15:00,7,1962.3,119,280.3285714285715,45.43016618943849,0.0,67,2,0.0,Morning,Loyal_Customers,3.6999999999999997
12400,2010-10-21 13:45:00,1,205.25,414,205.25,0.0,0.0,11,4,0.0,Afternoon,Lost,1.0
12401,2011-02-09 13:50:00,1,84.3,303,84.3,0.0,0.0,5,1,0.0,Afternoon,Lost,1.2999999999999998
12402,2011-01-20 13:49:00,6,1256.9,323,209.48333333333332,7.503332592921629,0.1429,43,1,0.4,Afternoon,At_Risk,3.4
12403,2011-10-21 10:51:00,2,1019.36,49,509.68000000000006,0.0,0.3333,5,3,0.0,Morning,Recent_Customers,3.0
12404,2010-01-26 16:25:00,1,63.24,682,63.24,0.0,0.0,1,1,0.0,Afternoon,Lost,1.0
12405,2011-07-14 08:52:00,1,1710.39,148,1710.39,0.0,0.0,54,3,0.0,Morning,Potential_Loyalists,2.8
12406,2011-11-17 19:22:00,5,6390.36,22,1278.0720000000001,50.59891303180336,0.2857,114,4,0.0,Morning,Champions,4.4
12407,2011-10-21 10:11:00,5,1708.1200000000001,49,341.62399999999997,32.836717253708535,0.0,57,3,0.19480519480519481,Morning,Champions,4.0
12408,2011-11-07 12:27:00,8,4340.7699999999995,32,542.5962499999999,26.348940522659856,0.4286,104,4,0.0,Afternoon,Champions,4.4
12409,2011-09-22 10:38:00,7,23419.29,78,3345.6128571428567,88.97509014699938,0.4615,177,2,0.32954545454545453,Afternoon,Loyal_Customers,4.1
12410,2011-02-04 10:39:00,3,1013.71,308,337.9033333333333,0.0,0.25,36,1,0.35,Morning,At_Risk,2.7
12411,2010-10-26 09:25:00,1,346.9,409,346.9,0.0,0.0,22,4,0.0,Morning,Lost,1.7
12412,2011-09-26 10:16:00,6,2596.93,74,432.82166666666666,80.56984547583544,0.25,82,3,0.0,Afternoon,Loyal_Customers,3.6999999999999997
12413,2011-10-04 09:00:00,4,999.45,66,249.8625,53.3572862878164,0.3333,41,1,0.0784313725490196,Afternoon,Loyal_Customers,3.0
12414,2011-05-06 14:51:00,6,952.41,217,158.73499999999999,71.50524456289902,0.25,21,2,0.0,Afternoon,At_Risk,3.0
12415,2011-11-15 14:22:00,28,144458.37,24,5159.227499999999,17.44732331646006,0.1515,498,4,0.0,Morning,Champions,4.7
12416,2010-02-21 10:19:00,1,202.56,656,202.56,0.0,0.0,11,1,1.0,Morning,Lost,1.0
12417,2011-12-06 14:52:00,20,6816.91,3,340.8455,21.085318192402358,0.2593,270,4,0.11081081081081082,Afternoon,Champions,5.0
12418,2011-08-19 11:08:00,4,2021.2,112,505.29999999999995,123.78341299759565,0.2,90,3,0.0,Morning,Loyal_Customers,3.4
12419,2010-11-19 10:04:00,2,503.01,385,251.505,0.0,0.0,23,4,0.0,Morning,Lost,2.0
12420,2011-10-07 08:55:00,1,600.39,63,600.39,0.0,0.0,29,4,0.0,Morning,Hibernating,2.0
12421,2011-11-24 09:07:00,6,1098.6,15,183.1,31.20096152364539,0.25,44,4,0.2153846153846154,Afternoon,Loyal_Customers,3.9000000000000004
12422,2011-09-05 09:48:00,17,5231.8,95,307.7529411764706,40.617824810145756,0.1905,137,2,0.12209302325581395,Afternoon,Loyal_Customers,4.4
12423,2011-12-09 10:10:00,10,2622.39,0,262.23900000000003,32.8062494046485,0.0909,128,4,0.0,Morning,Champions,4.6
12424,2011-06-30 12:06:00,4,3340.03,162,835.0075,94.75230867899737,0.4286,78,2,0.0,Morning,Loyal_Customers,3.8
12425,2011-09-22 17:31:00,2,1741.41,78,870.705,0.0,0.3333,87,3,0.0,Afternoon,Potential_Loyalists,3.1
12426,2011-05-29 12:26:00,2,1345.21,194,672.605,0.0,0.3333,73,1,0.38961038961038963,Morning,Cannot_Lose_Them,2.8
12427,2011-11-18 08:56:00,3,1129.3,21,376.43333333333334,192.33304448274092,0.4,26,4,0.0,Morning,Loyal_Customers,3.3
12428,2011-11-14 08:22:00,9,7956.46,25,884.0511111111111,37.76241517699841,0.25,258,1,0.034013605442176874,Morning,Champions,4.7
12429,2011-11-30 17:22:00,8,7485.91,9,935.73875,44.060186109457135,0.1111,124,4,0.0,Afternoon,Champions,4.7
12430,2011-10-27 15:09:00,1,256.4,43,256.4,0.0,0.0,11,4,0.0,Afternoon,Recent_Customers,1.9
12431,2011-11-04 11:55:00,27,10857.97,35,402.147037037037,22.832869310461543,0.1818,244,4,0.07407407407407407,Morning,Champions,4.7
12432,2011-10-28 11:43:00,5,5059.32,42,1011.8640000000001,89.09545442950498,0.0,107,2,0.0,Afternoon,Champions,4.4
12433,2011-12-09 10:02:00,10,20581.26,0,2058.1259999999997,88.47760007078466,0.0909,285,4,0.0,Afternoon,Champions,5.0
12434,2011-09-16 12:38:00,3,1103.43,84,367.80999999999995,38.890872965260115,0.4,62,3,0.0,Afternoon,Loyal_Customers,3.0
12435,2011-09-21 09:06:00,6,13925.93,79,2320.9883333333332,43.45457398249349,0.0,88,3,0.0,Morning,Loyal_Customers,4.1
12436,2011-09-01 12:09:00,1,509.01,99,509.01,0.0,0.0,16,3,0.0,Afternoon,Hibernating,2.0
12437,2011-12-08 11:35:00,39,12683.4,1,325.2153846153845,18.151247974459032,0.1702,273,1,0.046181172291296625,Morning,Champions,5.0
12438,2011-11-25 13:28:00,2,2906.85,14,1453.425,0.0,0.0,84,4,0.0,Afternoon,Recent_Customers,3.7
12439,2010-01-26 12:11:00,2,1158.18,682,579.09,0.0,0.3333,69,4,0.0,Morning,Cannot_Lose_Them,2.1
