Customer ID,Recency,Frequency,Monetary,R,F,M,RFMscore
12346.0,15317,33,206.36,1,3,2,132
12347.0,15317,71,162.95,1,2,2,122
12348.0,15317,20,14.39,1,3,4,134
12349.0,15317,102,875.34,1,1,1,111
12351.0,15317,21,49.46,1,3,4,134
12352.0,15317,18,54.6,1,4,4,144
12353.0,15317,20,38.78,1,3,4,134
12355.0,15317,22,52.78,1,3,4,134
12356.0,15317,83,259.43,1,2,2,122
12357.0,15317,165,1395.6399999999999,1,1,1,111
12358.0,15317,58,256.13,1,2,2,122
12359.0,15317,117,553.69,1,1,1,111
12360.0,15317,88,238.22,1,2,2,122
12361.0,15317,19,78.9,1,3,3,133
12362.0,15317,1,130.0,1,4,3,143
12366.0,15317,3,5.07,1,4,4,144
12368.0,15317,18,79.05,1,4,3,143
12369.0,15317,93,292.85,1,2,2,122
12370.0,15317,35,224.36,1,3,2,132
12371.0,15317,104,421.85,1,1,1,111
12373.0,15317,37,171.85,1,3,2,132
12374.0,15317,50,149.47,1,2,2,122
12376.0,15317,13,104.4,1,4,3,143
12377.0,15317,75,207.17000000000002,1,2,2,122
12378.0,15317,82,360.97,1,2,1,121
12379.0,15317,41,120.9,1,3,3,133
12380.0,15317,173,2389.44,1,1,1,111
12385.0,15317,65,239.25,1,2,2,122
12386.0,15317,8,21.81,1,4,4,144
12387.0,15317,9,24.86,1,4,4,144
12388.0,15317,46,134.64000000000001,1,2,3,123
12389.0,15317,49,130.06,1,2,3,123
12391.0,15317,174,786.81,1,1,1,111
12392.0,15317,7,35.25,1,4,4,144
12393.0,15317,43,119.45,1,3,3,133
12395.0,15317,98,290.65,1,2,2,122
12396.0,15317,65,149.46,1,2,2,122
12399.0,15317,51,99.8,1,2,3,123
12400.0,15317,11,32.05,1,4,4,144
12402.0,15317,59,195.15,1,2,2,122
12403.0,15317,4,28.53,1,4,4,144
12404.0,15317,1,63.24,1,4,3,143
12406.0,15317,61,158.82,1,2,2,122
12408.0,15317,54,173.43,1,2,2,122
12409.0,15317,155,464.74,1,1,1,111
12410.0,15317,14,75.87,1,4,3,143
12411.0,15317,22,74.7,1,3,3,133
12412.0,15317,66,160.57,1,2,2,122
12413.0,15317,13,118.69999999999999,1,4,3,143
12414.0,15317,10,303.53999999999996,1,4,2,142
12415.0,15317,212,652.02,1,1,1,111
12416.0,15317,11,16.88,1,4,4,144
12417.0,15317,177,987.43,1,1,1,111
12418.0,15317,68,220.04,1,2,2,122
12419.0,15317,25,126.09,1,3,3,133
12421.0,15317,20,106.71,1,3,3,133
12422.0,15317,133,1623.42,1,1,1,111
12423.0,15317,40,125.89,1,3,3,133
12424.0,15317,62,117.98,1,2,3,123
12425.0,15317,55,126.47,1,2,3,123
12426.0,15317,47,155.82,1,2,2,122
